,board,player,gameInfo,score
0,"[['V', 'V', 'V', 'V', 'K', 'V', 'V', 'V'], ['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['q', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'v', 'v', 'v', 'v', 'v', 'v', 'v'], ['v', 'v', 'v', 'v', 'k', 'v', 'v', 'v']]",black,"[True, True, True, True]",862.0
1,"[['V', 'V', 'V', 'V', 'K', 'V', 'V', 'V'], ['V', 'V', '.', 'V', 'V', 'V', 'V', 'V'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', 'R', '.', '.', '.', '.', '.'], ['q', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'v', 'v', 'v', 'v', 'v', 'v', 'v'], ['v', 'v', 'v', 'v', 'k', 'v', 'v', 'v']]",white,"[True, True, True, True]",732.0
2,"[['V', 'V', 'V', 'V', 'K', 'V', 'V', 'V'], ['V', 'V', '.', 'V', 'V', 'V', 'V', 'V'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', 'R', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'q', '.', '.', '.', '.', '.', '.'], ['.', 'v', 'v', 'v', 'v', 'v', 'v', 'v'], ['v', 'v', 'v', 'v', 'k', 'v', 'v', 'v']]",black,"[True, True, True, True]",0.0
3,"[['V', 'V', 'V', 'V', 'K', 'V', 'V', 'V'], ['.', 'V', '.', 'V', 'V', 'V', 'V', 'V'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['P', '.', 'R', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'q', '.', '.', '.', '.', '.', '.'], ['.', 'v', 'v', 'v', 'v', 'v', 'v', 'v'], ['v', 'v', 'v', 'v', 'k', 'v', 'v', 'v']]",white,"[True, True, True, True]",857.0
4,"[['V', 'V', 'V', 'V', 'K', 'V', 'V', 'V'], ['.', 'V', '.', 'V', 'V', 'V', 'V', 'V'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['P', '.', 'R', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'q', '.', '.', 'p', '.', '.', '.'], ['.', 'v', 'v', 'v', '.', 'v', 'v', 'v'], ['v', 'v', 'v', 'v', 'k', 'v', 'v', 'v']]",black,"[True, True, True, True]",523.0
5,"[['V', '.', 'V', 'V', 'K', 'V', 'V', 'V'], ['.', 'V', '.', 'V', 'V', 'V', 'V', 'V'], ['.', '.', 'P', '.', '.', '.', '.', '.'], ['P', '.', 'R', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['.', 'q', '.', '.', 'p', '.', '.', '.'], ['.', 'v', 'v', 'v', '.', 'v', 'v', 'v'], ['v', 'v', 'v', 'v', 'k', 'v', 'v', 'v']]",white,"[True, True, True, True]",834.0
6,"[['V', '.', 'V', 'V', 'K', 'V', 'V', 'V'], ['.', 'V', '.', 'V', 'V', 'V', 'V', 'V'], ['.', '.', 'P', '.', '.', '.', '.', '.'], ['P', '.', 'R', '.', '.', '.', '.', '.'], ['.', '.', 'r', '.', '.', '.', '.', '.'], ['.', 'q', '.', '.', 'p', '.', '.', '.'], ['.', 'v', '.', 'v', '.', 'v', 'v', 'v'], ['v', 'v', 'v', 'v', 'k', 'v', 'v', 'v']]",black,"[True, True, True, True]",880.0
7,"[['V', '.', 'V', 'V', 'K', 'V', 'V', 'V'], ['.', '.', '.', 'V', 'V', 'V', 'V', 'V'], ['.', 'P', 'P', '.', '.', '.', '.', '.'], ['P', '.', 'R', '.', '.', '.', '.', '.'], ['.', '.', 'r', '.', '.', '.', '.', '.'], ['.', 'q', '.', '.', 'p', '.', '.', '.'], ['.', 'v', '.', 'v', '.', 'v', 'v', 'v'], ['v', 'v', 'v', 'v', 'k', 'v', 'v', 'v']]",white,"[True, True, True, True]",1003.0
8,"[['V', '.', 'V', 'V', 'K', 'V', 'V', 'V'], ['.', '.', '.', 'V', 'V', 'V', 'V', 'V'], ['.', 'P', 'P', '.', '.', '.', '.', '.'], ['P', '.', 'R', '.', '.', '.', '.', '.'], ['.', '.', 'r', 'n', '.', '.', '.', '.'], ['.', 'q', '.', '.', 'p', '.', '.', '.'], ['.', 'v', '.', '.', '.', 'v', 'v', 'v'], ['v', 'v', 'v', 'v', 'k', 'v', 'v', 'v']]",black,"[True, True, True, True]",1331.0
9,"[['.', 'P', 'V', 'V', 'K', 'V', 'V', 'V'], ['.', '.', '.', 'V', 'V', 'V', 'V', 'V'], ['.', 'P', 'P', '.', '.', '.', '.', '.'], ['P', '.', 'R', '.', '.', '.', '.', '.'], ['.', '.', 'r', 'n', '.', '.', '.', '.'], ['.', 'q', '.', '.', 'p', '.', '.', '.'], ['.', 'v', '.', '.', '.', 'v', 'v', 'v'], ['v', 'v', 'v', 'v', 'k', 'v', 'v', 'v']]",white,"[True, True, True, False]",1433.0
10,"[['.', 'P', 'V', 'V', 'K', 'V', 'V', 'V'], ['.', '.', '.', 'V', 'V', 'V', 'V', 'V'], ['.', 'P', 'P', '.', '.', '.', '.', '.'], ['P', '.', 'R', '.', '.', '.', '.', '.'], ['.', '.', 'r', 'n', '.', '.', 'n', '.'], ['.', 'q', '.', '.', 'p', '.', '.', '.'], ['.', 'v', '.', '.', '.', 'v', '.', 'v'], ['v', 'v', 'v', 'v', 'k', 'v', 'v', 'v']]",black,"[True, True, True, False]",0.0
11,"[['.', 'P', 'V', 'V', 'K', 'V', 'V', 'V'], ['.', '.', '.', 'V', 'V', '.', 'V', 'V'], ['.', 'P', 'P', '.', '.', '.', '.', '.'], ['P', '.', 'R', '.', '.', 'P', '.', '.'], ['.', '.', 'r', 'n', '.', '.', 'n', '.'], ['.', 'q', '.', '.', 'p', '.', '.', '.'], ['.', 'v', '.', '.', '.', 'v', '.', 'v'], ['v', 'v', 'v', 'v', 'k', 'v', 'v', 'v']]",white,"[True, True, True, False]",1536.0
12,"[['.', 'P', 'V', 'V', 'K', 'V', 'V', 'V'], ['.', '.', '.', 'V', 'V', '.', 'V', 'V'], ['.', 'P', 'P', '.', 'n', '.', '.', '.'], ['P', '.', 'R', '.', '.', 'P', '.', '.'], ['.', '.', 'r', '.', '.', '.', 'n', '.'], ['.', 'q', '.', '.', 'p', '.', '.', '.'], ['.', 'v', '.', '.', '.', 'v', '.', 'v'], ['v', 'v', 'v', 'v', 'k', 'v', 'v', 'v']]",black,"[True, True, True, False]",2224.0
13,"[['.', 'P', 'V', 'V', 'K', 'V', 'V', 'V'], ['.', '.', '.', 'V', 'V', '.', 'V', 'V'], ['.', 'P', 'P', '.', 'n', '.', '.', '.'], ['P', '.', '.', '.', 'R', 'P', '.', '.'], ['.', '.', 'r', '.', '.', '.', 'n', '.'], ['.', 'q', '.', '.', 'p', '.', '.', '.'], ['.', 'v', '.', '.', '.', 'v', '.', 'v'], ['v', 'v', 'v', 'v', 'k', 'v', 'v', 'v']]",white,"[True, True, True, False]",2163.0
14,"[['.', 'P', 'V', 'V', 'K', 'V', 'V', 'V'], ['.', '.', '.', 'V', 'V', '.', 'V', 'V'], ['.', 'P', 'P', '.', 'n', '.', '.', '.'], ['P', '.', '.', '.', 'n', 'P', '.', '.'], ['.', '.', 'r', '.', '.', '.', '.', '.'], ['.', 'q', '.', '.', 'p', '.', '.', '.'], ['.', 'v', '.', '.', '.', 'v', '.', 'v'], ['v', 'v', 'v', 'v', 'k', 'v', 'v', 'v']]",black,"[True, True, True, False]",0.0
